"OutcomeGroup","Year","StudyGroup","NumDiagnosisColsUsed","TotalClaimsRaw","TotalBenes","TotalClaims"
"heart-failure",2015,"PA Southern",2,1605,62370,2145.87912087912
"heart-failure",2015,"PA Southern",25,4023,62370,5378.73626373626
"ihd",2002,"NY Border",2,2691,72468,2691
"ihd",2002,"NY Border",25,8134,72468,8134
"ihd",2002,"NY Mid",2,1378,31978,1378
"ihd",2002,"NY Mid",25,3334,31978,3334
"ihd",2002,"NY Northeastern",2,545,13356,545
"ihd",2002,"NY Northeastern",25,1346,13356,1346
"ihd",2002,"PA Border",2,973,23027,973
"ihd",2002,"PA Border",25,2424,23027,2424
"ihd",2002,"PA Mid",2,3060,54997,3060
"ihd",2002,"PA Mid",25,8754,54997,8754
"ihd",2002,"PA Southern",2,1980,43222,1980
"ihd",2002,"PA Southern",25,4756,43222,4756
"ihd",2003,"NY Border",2,2514,72791,2514
"ihd",2003,"NY Border",25,8084,72791,8084
"ihd",2003,"NY Mid",2,1416,32444,1416
"ihd",2003,"NY Mid",25,3500,32444,3500
"ihd",2003,"NY Northeastern",2,505,13447,505
"ihd",2003,"NY Northeastern",25,1308,13447,1308
"ihd",2003,"PA Border",2,1007,23290,1007
"ihd",2003,"PA Border",25,2683,23290,2683
"ihd",2003,"PA Mid",2,2838,54657,2838
"ihd",2003,"PA Mid",25,8724,54657,8724
"ihd",2003,"PA Southern",2,1969,44214,1969
"ihd",2003,"PA Southern",25,4923,44214,4923
"ihd",2004,"NY Border",2,2460,72989,2460
"ihd",2004,"NY Border",25,8031,72989,8031
"ihd",2004,"NY Mid",2,1371,32644,1371
"ihd",2004,"NY Mid",25,3368,32644,3368
"ihd",2004,"NY Northeastern",2,419,13645,419
"ihd",2004,"NY Northeastern",25,1281,13645,1281
"ihd",2004,"PA Border",2,882,23617,882
"ihd",2004,"PA Border",25,2496,23617,2496
"ihd",2004,"PA Mid",2,2779,54534,2779
"ihd",2004,"PA Mid",25,8523,54534,8523
"ihd",2004,"PA Southern",2,2071,45247,2071
"ihd",2004,"PA Southern",25,5260,45247,5260
"ihd",2005,"NY Border",2,2248,73532,2248
"ihd",2005,"NY Border",25,7530,73532,7530
"ihd",2005,"NY Mid",2,1147,32937,1147
"ihd",2005,"NY Mid",25,3221,32937,3221
"ihd",2005,"NY Northeastern",2,508,13815,508
"ihd",2005,"NY Northeastern",25,1383,13815,1383
"ihd",2005,"PA Border",2,848,23964,848
"ihd",2005,"PA Border",25,2391,23964,2391
"ihd",2005,"PA Mid",2,2539,54401,2539
"ihd",2005,"PA Mid",25,8179,54401,8179
"ihd",2005,"PA Southern",2,1950,46385,1950
"ihd",2005,"PA Southern",25,5425,46385,5425
"ihd",2006,"NY Border",2,1965,73993,1965
"ihd",2006,"NY Border",25,6764,73993,6764
"ihd",2006,"NY Mid",2,1078,33334,1078
"ihd",2006,"NY Mid",25,3149,33334,3149
"ihd",2006,"NY Northeastern",2,484,13935,484
"ihd",2006,"NY Northeastern",25,1387,13935,1387
"ihd",2006,"PA Border",2,791,24435,791
"ihd",2006,"PA Border",25,2434,24435,2434
"ihd",2006,"PA Mid",2,2332,54150,2332
"ihd",2006,"PA Mid",25,7673,54150,7673
"ihd",2006,"PA Southern",2,1913,47582,1913
"ihd",2006,"PA Southern",25,5284,47582,5284
"ihd",2007,"NY Border",2,1807,74703,1807
"ihd",2007,"NY Border",25,6435,74703,6435
"ihd",2007,"NY Mid",2,908,34118,908
"ihd",2007,"NY Mid",25,2904,34118,2904
"ihd",2007,"NY Northeastern",2,372,14113,372
"ihd",2007,"NY Northeastern",25,1139,14113,1139
"ihd",2007,"PA Border",2,746,25066,746
"ihd",2007,"PA Border",25,2361,25066,2361
"ihd",2007,"PA Mid",2,1955,54615,1955
"ihd",2007,"PA Mid",25,6996,54615,6996
"ihd",2007,"PA Southern",2,1764,49038,1764
"ihd",2007,"PA Southern",25,5221,49038,5221
"ihd",2008,"NY Border",2,1812,75560,1812
"ihd",2008,"NY Border",25,6597,75560,6597
"ihd",2008,"NY Mid",2,952,34823,952
"ihd",2008,"NY Mid",25,3045,34823,3045
"ihd",2008,"NY Northeastern",2,393,14335,393
"ihd",2008,"NY Northeastern",25,1245,14335,1245
"ihd",2008,"PA Border",2,761,25751,761
"ihd",2008,"PA Border",25,2398,25751,2398
"ihd",2008,"PA Mid",2,2188,54982,2188
"ihd",2008,"PA Mid",25,7749,54982,7749
"ihd",2008,"PA Southern",2,1949,50421,1949
"ihd",2008,"PA Southern",25,5591,50421,5591
"ihd",2009,"NY Border",2,1881,76937,1881
"ihd",2009,"NY Border",25,6730,76937,6730
"ihd",2009,"NY Mid",2,909,35575,909
"ihd",2009,"NY Mid",25,2933,35575,2933
"ihd",2009,"NY Northeastern",2,425,14527,425
"ihd",2009,"NY Northeastern",25,1232,14527,1232
"ihd",2009,"PA Border",2,738,26292,738
"ihd",2009,"PA Border",25,2428,26292,2428
"ihd",2009,"PA Mid",2,1928,55488,1928
"ihd",2009,"PA Mid",25,6949,55488,6949
"ihd",2009,"PA Southern",2,1768,52189,1768
"ihd",2009,"PA Southern",25,5330,52189,5330
"ihd",2010,"NY Border",2,1725,77609,1725
"ihd",2010,"NY Border",25,6286,77609,6286
"ihd",2010,"NY Mid",2,858,36366,858
"ihd",2010,"NY Mid",25,2804,36366,2804
"ihd",2010,"NY Northeastern",2,390,14770,390
"ihd",2010,"NY Northeastern",25,1207,14770,1207
"ihd",2010,"PA Border",2,765,26827,765
"ihd",2010,"PA Border",25,2493,26827,2493
"ihd",2010,"PA Mid",2,1949,56069,1949
"ihd",2010,"PA Mid",25,6759,56069,6759
"ihd",2010,"PA Southern",2,1568,53654,1568
"ihd",2010,"PA Southern",25,5089,53654,5089
"ihd",2011,"NY Border",2,1841,77519,1841
"ihd",2011,"NY Border",25,8138,77519,8138
"ihd",2011,"NY Mid",2,836,36413,836
"ihd",2011,"NY Mid",25,3128,36413,3128
"ihd",2011,"NY Northeastern",2,337,14718,337
"ihd",2011,"NY Northeastern",25,1355,14718,1355
"ihd",2011,"PA Border",2,655,26854,655
"ihd",2011,"PA Border",25,2901,26854,2901
"ihd",2011,"PA Mid",2,1646,55770,1646
"ihd",2011,"PA Mid",25,7366,55770,7366
"ihd",2011,"PA Southern",2,1435,54545,1435
"ihd",2011,"PA Southern",25,6715,54545,6715
"ihd",2012,"NY Border",2,1676,78569,1676
"ihd",2012,"NY Border",25,7812,78569,7812
"ihd",2012,"NY Mid",2,727,37361,727
"ihd",2012,"NY Mid",25,3001,37361,3001
"ihd",2012,"NY Northeastern",2,360,15109,360
"ihd",2012,"NY Northeastern",25,1283,15109,1283
"ihd",2012,"PA Border",2,678,27315,678
"ihd",2012,"PA Border",25,3024,27315,3024
"ihd",2012,"PA Mid",2,1406,56268,1406
"ihd",2012,"PA Mid",25,6775,56268,6775
"ihd",2012,"PA Southern",2,1597,56429,1597
"ihd",2012,"PA Southern",25,7151,56429,7151
"ihd",2013,"NY Border",2,1464,80006,1464
"ihd",2013,"NY Border",25,7784,80006,7784
"ihd",2013,"NY Mid",2,637,38354,637
"ihd",2013,"NY Mid",25,2900,38354,2900
"ihd",2013,"NY Northeastern",2,284,15552,284
"ihd",2013,"NY Northeastern",25,1129,15552,1129
"ihd",2013,"PA Border",2,607,27991,607
"ihd",2013,"PA Border",25,3017,27991,3017
"ihd",2013,"PA Mid",2,1293,57400,1293
"ihd",2013,"PA Mid",25,6622,57400,6622
"ihd",2013,"PA Southern",2,1490,58564,1490
"ihd",2013,"PA Southern",25,7051,58564,7051
"ihd",2014,"NY Border",2,1350,81307,1350
"ihd",2014,"NY Border",25,7564,81307,7564
"ihd",2014,"NY Mid",2,568,39155,568
"ihd",2014,"NY Mid",25,2834,39155,2834
"ihd",2014,"NY Northeastern",2,237,15919,237
"ihd",2014,"NY Northeastern",25,1035,15919,1035
"ihd",2014,"PA Border",2,629,28502,629
"ihd",2014,"PA Border",25,2775,28502,2775
"ihd",2014,"PA Mid",2,1256,58271,1256
"ihd",2014,"PA Mid",25,6234,58271,6234
"ihd",2014,"PA Southern",2,1371,60469,1371
"ihd",2014,"PA Southern",25,7397,60469,7397
"ihd",2015,"NY Border",2,1088,82318,1454.65201465201
"ihd",2015,"NY Border",25,5756,82318,7695.75091575092
"ihd",2015,"NY Mid",2,422,40033,564.212454212454
"ihd",2015,"NY Mid",25,2112,40033,2823.73626373626
"ihd",2015,"NY Northeastern",2,201,16260,268.736263736264
"ihd",2015,"NY Northeastern",25,829,16260,1108.36996336996
"ihd",2015,"PA Border",2,496,28917,663.150183150183
"ihd",2015,"PA Border",25,2169,28917,2899.94505494505
"ihd",2015,"PA Mid",2,931,58949,1244.74358974359
"ihd",2015,"PA Mid",25,4941,58949,6606.0989010989
"ihd",2015,"PA Southern",2,1030,62370,1377.10622710623
"ihd",2015,"PA Southern",25,5684,62370,7599.48717948718
"no-ami-ihd",2002,"NY Border",2,1922,72468,1922
"no-ami-ihd",2002,"NY Border",25,7738,72468,7738
"no-ami-ihd",2002,"NY Mid",2,1029,31978,1029
"no-ami-ihd",2002,"NY Mid",25,3107,31978,3107
"no-ami-ihd",2002,"NY Northeastern",2,408,13356,408
"no-ami-ihd",2002,"NY Northeastern",25,1265,13356,1265
"no-ami-ihd",2002,"PA Border",2,699,23027,699
"no-ami-ihd",2002,"PA Border",25,2245,23027,2245
"no-ami-ihd",2002,"PA Mid",2,2176,54997,2176
"no-ami-ihd",2002,"PA Mid",25,8289,54997,8289
"no-ami-ihd",2002,"PA Southern",2,1403,43222,1403
"no-ami-ihd",2002,"PA Southern",25,4402,43222,4402
"no-ami-ihd",2003,"NY Border",2,1780,72791,1780
"no-ami-ihd",2003,"NY Border",25,7702,72791,7702
"no-ami-ihd",2003,"NY Mid",2,1068,32444,1068
"no-ami-ihd",2003,"NY Mid",25,3287,32444,3287
"no-ami-ihd",2003,"NY Northeastern",2,396,13447,396
"no-ami-ihd",2003,"NY Northeastern",25,1256,13447,1256
"no-ami-ihd",2003,"PA Border",2,728,23290,728
"no-ami-ihd",2003,"PA Border",25,2533,23290,2533
"no-ami-ihd",2003,"PA Mid",2,2026,54657,2026
"no-ami-ihd",2003,"PA Mid",25,8286,54657,8286
"no-ami-ihd",2003,"PA Southern",2,1361,44214,1361
"no-ami-ihd",2003,"PA Southern",25,4559,44214,4559
"no-ami-ihd",2004,"NY Border",2,1678,72989,1678
"no-ami-ihd",2004,"NY Border",25,7617,72989,7617
"no-ami-ihd",2004,"NY Mid",2,1015,32644,1015
"no-ami-ihd",2004,"NY Mid",25,3144,32644,3144
"no-ami-ihd",2004,"NY Northeastern",2,320,13645,320
"no-ami-ihd",2004,"NY Northeastern",25,1217,13645,1217
"no-ami-ihd",2004,"PA Border",2,680,23617,680
"no-ami-ihd",2004,"PA Border",25,2387,23617,2387
"no-ami-ihd",2004,"PA Mid",2,2010,54534,2010
"no-ami-ihd",2004,"PA Mid",25,8095,54534,8095
"no-ami-ihd",2004,"PA Southern",2,1517,45247,1517
"no-ami-ihd",2004,"PA Southern",25,4954,45247,4954
"no-ami-ihd",2005,"NY Border",2,1499,73532,1499
"no-ami-ihd",2005,"NY Border",25,7119,73532,7119
"no-ami-ihd",2005,"NY Mid",2,877,32937,877
"no-ami-ihd",2005,"NY Mid",25,3045,32937,3045
"no-ami-ihd",2005,"NY Northeastern",2,391,13815,391
"no-ami-ihd",2005,"NY Northeastern",25,1321,13815,1321
"no-ami-ihd",2005,"PA Border",2,618,23964,618
"no-ami-ihd",2005,"PA Border",25,2271,23964,2271
"no-ami-ihd",2005,"PA Mid",2,1744,54401,1744
"no-ami-ihd",2005,"PA Mid",25,7705,54401,7705
"no-ami-ihd",2005,"PA Southern",2,1412,46385,1412
"no-ami-ihd",2005,"PA Southern",25,5078,46385,5078
"no-ami-ihd",2006,"NY Border",2,1286,73993,1286
"no-ami-ihd",2006,"NY Border",25,6366,73993,6366
"no-ami-ihd",2006,"NY Mid",2,833,33334,833
"no-ami-ihd",2006,"NY Mid",25,2966,33334,2966
"no-ami-ihd",2006,"NY Northeastern",2,344,13935,344
"no-ami-ihd",2006,"NY Northeastern",25,1298,13935,1298
"no-ami-ihd",2006,"PA Border",2,583,24435,583
"no-ami-ihd",2006,"PA Border",25,2298,24435,2298
"no-ami-ihd",2006,"PA Mid",2,1615,54150,1615
"no-ami-ihd",2006,"PA Mid",25,7223,54150,7223
"no-ami-ihd",2006,"PA Southern",2,1369,47582,1369
"no-ami-ihd",2006,"PA Southern",25,4975,47582,4975
"no-ami-ihd",2007,"NY Border",2,1160,74703,1160
"no-ami-ihd",2007,"NY Border",25,6035,74703,6035
"no-ami-ihd",2007,"NY Mid",2,617,34118,617
"no-ami-ihd",2007,"NY Mid",25,2715,34118,2715
"no-ami-ihd",2007,"NY Northeastern",2,271,14113,271
"no-ami-ihd",2007,"NY Northeastern",25,1084,14113,1084
"no-ami-ihd",2007,"PA Border",2,518,25066,518
"no-ami-ihd",2007,"PA Border",25,2241,25066,2241
"no-ami-ihd",2007,"PA Mid",2,1328,54615,1328
"no-ami-ihd",2007,"PA Mid",25,6586,54615,6586
"no-ami-ihd",2007,"PA Southern",2,1230,49038,1230
"no-ami-ihd",2007,"PA Southern",25,4886,49038,4886
"no-ami-ihd",2008,"NY Border",2,1227,75560,1227
"no-ami-ihd",2008,"NY Border",25,6246,75560,6246
"no-ami-ihd",2008,"NY Mid",2,657,34823,657
"no-ami-ihd",2008,"NY Mid",25,2871,34823,2871
"no-ami-ihd",2008,"NY Northeastern",2,244,14335,244
"no-ami-ihd",2008,"NY Northeastern",25,1174,14335,1174
"no-ami-ihd",2008,"PA Border",2,554,25751,554
"no-ami-ihd",2008,"PA Border",25,2267,25751,2267
"no-ami-ihd",2008,"PA Mid",2,1479,54982,1479
"no-ami-ihd",2008,"PA Mid",25,7269,54982,7269
"no-ami-ihd",2008,"PA Southern",2,1283,50421,1283
"no-ami-ihd",2008,"PA Southern",25,5141,50421,5141
"no-ami-ihd",2009,"NY Border",2,1187,76937,1187
"no-ami-ihd",2009,"NY Border",25,6303,76937,6303
"no-ami-ihd",2009,"NY Mid",2,586,35575,586
"no-ami-ihd",2009,"NY Mid",25,2729,35575,2729
"no-ami-ihd",2009,"NY Northeastern",2,292,14527,292
"no-ami-ihd",2009,"NY Northeastern",25,1155,14527,1155
"no-ami-ihd",2009,"PA Border",2,541,26292,541
"no-ami-ihd",2009,"PA Border",25,2314,26292,2314
"no-ami-ihd",2009,"PA Mid",2,1223,55488,1223
"no-ami-ihd",2009,"PA Mid",25,6507,55488,6507
"no-ami-ihd",2009,"PA Southern",2,1185,52189,1185
"no-ami-ihd",2009,"PA Southern",25,4909,52189,4909
"no-ami-ihd",2010,"NY Border",2,976,77609,976
"no-ami-ihd",2010,"NY Border",25,5800,77609,5800
"no-ami-ihd",2010,"NY Mid",2,529,36366,529
"no-ami-ihd",2010,"NY Mid",25,2605,36366,2605
"no-ami-ihd",2010,"NY Northeastern",2,257,14770,257
"no-ami-ihd",2010,"NY Northeastern",25,1108,14770,1108
"no-ami-ihd",2010,"PA Border",2,542,26827,542
"no-ami-ihd",2010,"PA Border",25,2357,26827,2357
"no-ami-ihd",2010,"PA Mid",2,1189,56069,1189
"no-ami-ihd",2010,"PA Mid",25,6304,56069,6304
"no-ami-ihd",2010,"PA Southern",2,951,53654,951
"no-ami-ihd",2010,"PA Southern",25,4677,53654,4677
"no-ami-ihd",2011,"NY Border",2,938,77519,938
"no-ami-ihd",2011,"NY Border",25,7783,77519,7783
"no-ami-ihd",2011,"NY Mid",2,477,36413,477
"no-ami-ihd",2011,"NY Mid",25,2984,36413,2984
"no-ami-ihd",2011,"NY Northeastern",2,210,14718,210
"no-ami-ihd",2011,"NY Northeastern",25,1298,14718,1298
"no-ami-ihd",2011,"PA Border",2,414,26854,414
"no-ami-ihd",2011,"PA Border",25,2806,26854,2806
"no-ami-ihd",2011,"PA Mid",2,942,55770,942
"no-ami-ihd",2011,"PA Mid",25,7072,55770,7072
"no-ami-ihd",2011,"PA Southern",2,802,54545,802
"no-ami-ihd",2011,"PA Southern",25,6436,54545,6436
"no-ami-ihd",2012,"NY Border",2,863,78569,863
"no-ami-ihd",2012,"NY Border",25,7463,78569,7463
"no-ami-ihd",2012,"NY Mid",2,411,37361,411
"no-ami-ihd",2012,"NY Mid",25,2879,37361,2879
"no-ami-ihd",2012,"NY Northeastern",2,190,15109,190
"no-ami-ihd",2012,"NY Northeastern",25,1209,15109,1209
"no-ami-ihd",2012,"PA Border",2,391,27315,391
"no-ami-ihd",2012,"PA Border",25,2919,27315,2919
"no-ami-ihd",2012,"PA Mid",2,774,56268,774
"no-ami-ihd",2012,"PA Mid",25,6494,56268,6494
"no-ami-ihd",2012,"PA Southern",2,887,56429,887
"no-ami-ihd",2012,"PA Southern",25,6831,56429,6831
"no-ami-ihd",2013,"NY Border",2,740,80006,740
"no-ami-ihd",2013,"NY Border",25,7488,80006,7488
"no-ami-ihd",2013,"NY Mid",2,356,38354,356
"no-ami-ihd",2013,"NY Mid",25,2816,38354,2816
"no-ami-ihd",2013,"NY Northeastern",2,121,15552,121
"no-ami-ihd",2013,"NY Northeastern",25,1041,15552,1041
"no-ami-ihd",2013,"PA Border",2,338,27991,338
"no-ami-ihd",2013,"PA Border",25,2892,27991,2892
"no-ami-ihd",2013,"PA Mid",2,689,57400,689
"no-ami-ihd",2013,"PA Mid",25,6354,57400,6354
"no-ami-ihd",2013,"PA Southern",2,768,58564,768
"no-ami-ihd",2013,"PA Southern",25,6794,58564,6794
"no-ami-ihd",2014,"NY Border",2,602,81307,602
"no-ami-ihd",2014,"NY Border",25,7275,81307,7275
"no-ami-ihd",2014,"NY Mid",2,272,39155,272
"no-ami-ihd",2014,"NY Mid",25,2725,39155,2725
"no-ami-ihd",2014,"NY Northeastern",2,115,15919,115
"no-ami-ihd",2014,"NY Northeastern",25,982,15919,982
"no-ami-ihd",2014,"PA Border",2,301,28502,301
"no-ami-ihd",2014,"PA Border",25,2598,28502,2598
"no-ami-ihd",2014,"PA Mid",2,644,58271,644
"no-ami-ihd",2014,"PA Mid",25,5937,58271,5937
"no-ami-ihd",2014,"PA Southern",2,713,60469,713
"no-ami-ihd",2014,"PA Southern",25,7175,60469,7175
"no-ami-ihd",2015,"NY Border",2,480,82318,641.758241758242
"no-ami-ihd",2015,"NY Border",25,5494,82318,7345.45787545788
"no-ami-ihd",2015,"NY Mid",2,206,40033,275.421245421245
"no-ami-ihd",2015,"NY Mid",25,2042,40033,2730.14652014652
"no-ami-ihd",2015,"NY Northeastern",2,89,16260,118.992673992674
"no-ami-ihd",2015,"NY Northeastern",25,793,16260,1060.2380952381
"no-ami-ihd",2015,"PA Border",2,235,28917,314.194139194139
"no-ami-ihd",2015,"PA Border",25,2030,28917,2714.10256410256
"no-ami-ihd",2015,"PA Mid",2,378,58949,505.384615384615
"no-ami-ihd",2015,"PA Mid",25,4685,58949,6263.82783882784
"no-ami-ihd",2015,"PA Southern",2,499,62370,667.161172161172
"no-ami-ihd",2015,"PA Southern",25,5499,62370,7352.14285714286
"stroke",2002,"NY Border",2,905,72468,905
"stroke",2002,"NY Border",25,1053,72468,1053
"stroke",2002,"NY Mid",2,458,31978,458
"stroke",2002,"NY Mid",25,521,31978,521
"stroke",2002,"NY Northeastern",2,163,13356,163
"stroke",2002,"NY Northeastern",25,192,13356,192
"stroke",2002,"PA Border",2,315,23027,315
"stroke",2002,"PA Border",25,380,23027,380
"stroke",2002,"PA Mid",2,1150,54997,1150
"stroke",2002,"PA Mid",25,1451,54997,1451
"stroke",2002,"PA Southern",2,706,43222,706
"stroke",2002,"PA Southern",25,837,43222,837
"stroke",2003,"NY Border",2,876,72791,876
"stroke",2003,"NY Border",25,1068,72791,1068
"stroke",2003,"NY Mid",2,414,32444,414
"stroke",2003,"NY Mid",25,491,32444,491
"stroke",2003,"NY Northeastern",2,155,13447,155
"stroke",2003,"NY Northeastern",25,188,13447,188
"stroke",2003,"PA Border",2,306,23290,306
"stroke",2003,"PA Border",25,360,23290,360
"stroke",2003,"PA Mid",2,1084,54657,1084
"stroke",2003,"PA Mid",25,1342,54657,1342
"stroke",2003,"PA Southern",2,661,44214,661
"stroke",2003,"PA Southern",25,769,44214,769
"stroke",2004,"NY Border",2,761,72989,761
"stroke",2004,"NY Border",25,931,72989,931
"stroke",2004,"NY Mid",2,393,32644,393
"stroke",2004,"NY Mid",25,482,32644,482
"stroke",2004,"NY Northeastern",2,163,13645,163
"stroke",2004,"NY Northeastern",25,198,13645,198
"stroke",2004,"PA Border",2,281,23617,281
"stroke",2004,"PA Border",25,358,23617,358
"stroke",2004,"PA Mid",2,1004,54534,1004
"stroke",2004,"PA Mid",25,1274,54534,1274
"stroke",2004,"PA Southern",2,646,45247,646
"stroke",2004,"PA Southern",25,761,45247,761
"stroke",2005,"NY Border",2,737,73532,737
"stroke",2005,"NY Border",25,890,73532,890
"stroke",2005,"NY Mid",2,369,32937,369
"stroke",2005,"NY Mid",25,451,32937,451
"stroke",2005,"NY Northeastern",2,144,13815,144
"stroke",2005,"NY Northeastern",25,166,13815,166
"stroke",2005,"PA Border",2,282,23964,282
"stroke",2005,"PA Border",25,334,23964,334
"stroke",2005,"PA Mid",2,982,54401,982
"stroke",2005,"PA Mid",25,1242,54401,1242
"stroke",2005,"PA Southern",2,589,46385,589
"stroke",2005,"PA Southern",25,713,46385,713
"stroke",2006,"NY Border",2,765,73993,765
"stroke",2006,"NY Border",25,916,73993,916
"stroke",2006,"NY Mid",2,350,33334,350
"stroke",2006,"NY Mid",25,438,33334,438
"stroke",2006,"NY Northeastern",2,148,13935,148
"stroke",2006,"NY Northeastern",25,168,13935,168
"stroke",2006,"PA Border",2,272,24435,272
"stroke",2006,"PA Border",25,342,24435,342
"stroke",2006,"PA Mid",2,903,54150,903
"stroke",2006,"PA Mid",25,1172,54150,1172
"stroke",2006,"PA Southern",2,615,47582,615
"stroke",2006,"PA Southern",25,734,47582,734
"stroke",2007,"NY Border",2,716,74703,716
"stroke",2007,"NY Border",25,860,74703,860
"stroke",2007,"NY Mid",2,312,34118,312
"stroke",2007,"NY Mid",25,375,34118,375
"stroke",2007,"NY Northeastern",2,144,14113,144
"stroke",2007,"NY Northeastern",25,164,14113,164
"stroke",2007,"PA Border",2,273,25066,273
"stroke",2007,"PA Border",25,320,25066,320
"stroke",2007,"PA Mid",2,806,54615,806
"stroke",2007,"PA Mid",25,1037,54615,1037
"stroke",2007,"PA Southern",2,653,49038,653
"stroke",2007,"PA Southern",25,785,49038,785
"stroke",2008,"NY Border",2,741,75560,741
"stroke",2008,"NY Border",25,836,75560,836
"stroke",2008,"NY Mid",2,333,34823,333
"stroke",2008,"NY Mid",25,391,34823,391
"stroke",2008,"NY Northeastern",2,153,14335,153
"stroke",2008,"NY Northeastern",25,171,14335,171
"stroke",2008,"PA Border",2,297,25751,297
"stroke",2008,"PA Border",25,347,25751,347
"stroke",2008,"PA Mid",2,978,54982,978
"stroke",2008,"PA Mid",25,1202,54982,1202
"stroke",2008,"PA Southern",2,673,50421,673
"stroke",2008,"PA Southern",25,804,50421,804
"stroke",2009,"NY Border",2,823,76937,823
"stroke",2009,"NY Border",25,942,76937,942
"stroke",2009,"NY Mid",2,344,35575,344
"stroke",2009,"NY Mid",25,403,35575,403
"stroke",2009,"NY Northeastern",2,167,14527,167
"stroke",2009,"NY Northeastern",25,191,14527,191
"stroke",2009,"PA Border",2,273,26292,273
"stroke",2009,"PA Border",25,334,26292,334
"stroke",2009,"PA Mid",2,821,55488,821
"stroke",2009,"PA Mid",25,1071,55488,1071
"stroke",2009,"PA Southern",2,648,52189,648
"stroke",2009,"PA Southern",25,773,52189,773
"stroke",2010,"NY Border",2,774,77609,774
"stroke",2010,"NY Border",25,896,77609,896
"stroke",2010,"NY Mid",2,346,36366,346
"stroke",2010,"NY Mid",25,385,36366,385
"stroke",2010,"NY Northeastern",2,169,14770,169
"stroke",2010,"NY Northeastern",25,186,14770,186
"stroke",2010,"PA Border",2,324,26827,324
"stroke",2010,"PA Border",25,370,26827,370
"stroke",2010,"PA Mid",2,849,56069,849
"stroke",2010,"PA Mid",25,1009,56069,1009
"stroke",2010,"PA Southern",2,618,53654,618
"stroke",2010,"PA Southern",25,747,53654,747
"stroke",2011,"NY Border",2,773,77519,773
"stroke",2011,"NY Border",25,881,77519,881
"stroke",2011,"NY Mid",2,346,36413,346
"stroke",2011,"NY Mid",25,403,36413,403
"stroke",2011,"NY Northeastern",2,130,14718,130
"stroke",2011,"NY Northeastern",25,151,14718,151
"stroke",2011,"PA Border",2,320,26854,320
"stroke",2011,"PA Border",25,381,26854,381
"stroke",2011,"PA Mid",2,797,55770,797
"stroke",2011,"PA Mid",25,951,55770,951
"stroke",2011,"PA Southern",2,691,54545,691
"stroke",2011,"PA Southern",25,826,54545,826
"stroke",2012,"NY Border",2,785,78569,785
"stroke",2012,"NY Border",25,901,78569,901
"stroke",2012,"NY Mid",2,314,37361,314
"stroke",2012,"NY Mid",25,367,37361,367
"stroke",2012,"NY Northeastern",2,131,15109,131
"stroke",2012,"NY Northeastern",25,156,15109,156
"stroke",2012,"PA Border",2,309,27315,309
"stroke",2012,"PA Border",25,383,27315,383
"stroke",2012,"PA Mid",2,769,56268,769
"stroke",2012,"PA Mid",25,917,56268,917
"stroke",2012,"PA Southern",2,721,56429,721
"stroke",2012,"PA Southern",25,881,56429,881
"stroke",2013,"NY Border",2,822,80006,822
"stroke",2013,"NY Border",25,936,80006,936
"stroke",2013,"NY Mid",2,328,38354,328
"stroke",2013,"NY Mid",25,390,38354,390
"stroke",2013,"NY Northeastern",2,136,15552,136
"stroke",2013,"NY Northeastern",25,152,15552,152
"stroke",2013,"PA Border",2,314,27991,314
"stroke",2013,"PA Border",25,373,27991,373
"stroke",2013,"PA Mid",2,704,57400,704
"stroke",2013,"PA Mid",25,880,57400,880
"stroke",2013,"PA Southern",2,745,58564,745
"stroke",2013,"PA Southern",25,911,58564,911
"stroke",2014,"NY Border",2,757,81307,757
"stroke",2014,"NY Border",25,916,81307,916
"stroke",2014,"NY Mid",2,322,39155,322
"stroke",2014,"NY Mid",25,380,39155,380
"stroke",2014,"NY Northeastern",2,133,15919,133
"stroke",2014,"NY Northeastern",25,152,15919,152
"stroke",2014,"PA Border",2,321,28502,321
"stroke",2014,"PA Border",25,397,28502,397
"stroke",2014,"PA Mid",2,694,58271,694
"stroke",2014,"PA Mid",25,890,58271,890
"stroke",2014,"PA Southern",2,733,60469,733
"stroke",2014,"PA Southern",25,912,60469,912
"stroke",2015,"NY Border",2,602,82318,804.871794871795
"stroke",2015,"NY Border",25,698,82318,933.223443223443
"stroke",2015,"NY Mid",2,209,40033,279.432234432234
"stroke",2015,"NY Mid",25,252,40033,336.923076923077
"stroke",2015,"NY Northeastern",2,107,16260,143.058608058608
"stroke",2015,"NY Northeastern",25,118,16260,157.765567765568
"stroke",2015,"PA Border",2,220,28917,294.139194139194
"stroke",2015,"PA Border",25,263,28917,351.630036630037
"stroke",2015,"PA Mid",2,457,58949,611.007326007326
"stroke",2015,"PA Mid",25,595,58949,795.51282051282
"stroke",2015,"PA Southern",2,525,62370,701.923076923077
"stroke",2015,"PA Southern",25,671,62370,897.124542124542
