"year","zipcode","NewSpuds","ALAND10","CumulativeSpuds","NewSpudDensity","CumulativeSpudDensity"
2005,"16925",1,199819653,1,5.00451274429948e-09,5.00451274429948e-09
2005,"18840",1,116630500,1,8.57408653825543e-09,8.57408653825543e-09
2005,"18844",0,88564327,0,0,0
2005,"16914",0,195876075,0,0,0
2005,"18801",0,420663082,0,0,0
2005,"16901",0,602272141,0,0,0
2005,"16917",0,115168685,0,0,0
2005,"16926",0,62750789,0,0,0
2005,"16929",0,119702567,0,0,0
2005,"16933",0,252428446,0,0,0
2005,"16947",0,298543712,0,0,0
2005,"17724",0,290315038,0,0,0
2005,"17765",0,214207968,0,0,0
2005,"18630",0,170601370,0,0,0
2005,"18810",0,119055618,0,0,0
2005,"18824",0,77363644,0,0,0
2005,"18826",0,118229320,0,0,0
2005,"18832",0,154354180,0,0,0
2005,"18848",0,274467820,0,0,0
2005,"18850",0,155895533,0,0,0
2005,"18853",0,265087158,0,0,0
2005,"16912",0,65449401,0,0,0
2005,"16932",0,55182774,0,0,0
2005,"16936",0,124997105,0,0,0
2005,"16946",0,159436577,0,0,0
2005,"18623",0,146069512,0,0,0
2005,"18822",0,107709685,0,0,0
2005,"18828",0,25967605,0,0,0
2005,"18833",0,275449756,0,0,0
2005,"18847",0,365503815,0,0,0
2005,"18854",0,68704007,0,0,0
2005,"16920",0,24665307,0,0,0
2005,"16928",0,89277055,0,0,0
2005,"16930",0,172730334,0,0,0
2005,"16935",0,129576224,0,0,0
2005,"16942",0,61420174,0,0,0
2005,"18818",0,118489742,0,0,0
2005,"18829",0,66842460,0,0,0
2005,"18831",0,75558368,0,0,0
2005,"18837",0,233446874,0,0,0
2005,"18845",0,25048668,0,0,0
2005,"18817",0,4768296,0,0,0
2005,"18830",0,62514522,0,0,0
2005,"18834",0,171936159,0,0,0
2005,"18846",0,69779395,0,0,0
2005,"18851",0,72576746,0,0,0
2005,"18812",0,81611607,0,0,0
2005,"18842",0,10668083,0,0,0
2005,"18823",0,6905558,0,0,0
2005,"18821",0,8947352,0,0,0
2005,"18825",0,8575609,0,0,0
2006,"16925",0,199819653,1,0,5.00451274429948e-09
2006,"18840",2,116630500,3,1.71481730765109e-08,2.57222596147663e-08
2006,"18844",1,88564327,1,1.12912279003712e-08,1.12912279003712e-08
2006,"16914",0,195876075,0,0,0
2006,"18801",0,420663082,0,0,0
2006,"16901",0,602272141,0,0,0
2006,"16917",0,115168685,0,0,0
2006,"16926",0,62750789,0,0,0
2006,"16929",0,119702567,0,0,0
2006,"16933",0,252428446,0,0,0
2006,"16947",0,298543712,0,0,0
2006,"17724",0,290315038,0,0,0
2006,"17765",0,214207968,0,0,0
2006,"18630",0,170601370,0,0,0
2006,"18810",0,119055618,0,0,0
2006,"18824",0,77363644,0,0,0
2006,"18826",0,118229320,0,0,0
2006,"18832",0,154354180,0,0,0
2006,"18848",0,274467820,0,0,0
2006,"18850",0,155895533,0,0,0
2006,"18853",0,265087158,0,0,0
2006,"16912",0,65449401,0,0,0
2006,"16932",0,55182774,0,0,0
2006,"16936",0,124997105,0,0,0
2006,"16946",0,159436577,0,0,0
2006,"18623",0,146069512,0,0,0
2006,"18822",0,107709685,0,0,0
2006,"18828",0,25967605,0,0,0
2006,"18833",0,275449756,0,0,0
2006,"18847",0,365503815,0,0,0
2006,"18854",0,68704007,0,0,0
2006,"16920",0,24665307,0,0,0
2006,"16928",0,89277055,0,0,0
2006,"16930",0,172730334,0,0,0
2006,"16935",0,129576224,0,0,0
2006,"16942",0,61420174,0,0,0
2006,"18818",0,118489742,0,0,0
2006,"18829",0,66842460,0,0,0
2006,"18831",0,75558368,0,0,0
2006,"18837",0,233446874,0,0,0
2006,"18845",0,25048668,0,0,0
2006,"18817",0,4768296,0,0,0
2006,"18830",0,62514522,0,0,0
2006,"18834",0,171936159,0,0,0
2006,"18846",0,69779395,0,0,0
2006,"18851",0,72576746,0,0,0
2006,"18812",0,81611607,0,0,0
2006,"18842",0,10668083,0,0,0
2006,"18823",0,6905558,0,0,0
2006,"18821",0,8947352,0,0,0
2006,"18825",0,8575609,0,0,0
2007,"16925",0,199819653,1,0,5.00451274429948e-09
2007,"18840",0,116630500,3,0,2.57222596147663e-08
2007,"18844",0,88564327,1,0,1.12912279003712e-08
2007,"16914",2,195876075,2,1.02105374533362e-08,1.02105374533362e-08
2007,"18801",2,420663082,2,4.75439867575544e-09,4.75439867575544e-09
2007,"16901",0,602272141,0,0,0
2007,"16917",0,115168685,0,0,0
2007,"16926",0,62750789,0,0,0
2007,"16929",0,119702567,0,0,0
2007,"16933",0,252428446,0,0,0
2007,"16947",0,298543712,0,0,0
2007,"17724",0,290315038,0,0,0
2007,"17765",0,214207968,0,0,0
2007,"18630",0,170601370,0,0,0
2007,"18810",0,119055618,0,0,0
2007,"18824",0,77363644,0,0,0
2007,"18826",0,118229320,0,0,0
2007,"18832",0,154354180,0,0,0
2007,"18848",0,274467820,0,0,0
2007,"18850",0,155895533,0,0,0
2007,"18853",0,265087158,0,0,0
2007,"16912",0,65449401,0,0,0
2007,"16932",0,55182774,0,0,0
2007,"16936",0,124997105,0,0,0
2007,"16946",0,159436577,0,0,0
2007,"18623",0,146069512,0,0,0
2007,"18822",0,107709685,0,0,0
2007,"18828",0,25967605,0,0,0
2007,"18833",0,275449756,0,0,0
2007,"18847",0,365503815,0,0,0
2007,"18854",0,68704007,0,0,0
2007,"16920",0,24665307,0,0,0
2007,"16928",0,89277055,0,0,0
2007,"16930",0,172730334,0,0,0
2007,"16935",0,129576224,0,0,0
2007,"16942",0,61420174,0,0,0
2007,"18818",0,118489742,0,0,0
2007,"18829",0,66842460,0,0,0
2007,"18831",0,75558368,0,0,0
2007,"18837",0,233446874,0,0,0
2007,"18845",0,25048668,0,0,0
2007,"18817",0,4768296,0,0,0
2007,"18830",0,62514522,0,0,0
2007,"18834",0,171936159,0,0,0
2007,"18846",0,69779395,0,0,0
2007,"18851",0,72576746,0,0,0
2007,"18812",0,81611607,0,0,0
2007,"18842",0,10668083,0,0,0
2007,"18823",0,6905558,0,0,0
2007,"18821",0,8947352,0,0,0
2007,"18825",0,8575609,0,0,0
2008,"16925",0,199819653,1,0,5.00451274429948e-09
2008,"18840",0,116630500,3,0,2.57222596147663e-08
2008,"18844",2,88564327,3,2.25824558007424e-08,3.38736837011137e-08
2008,"16914",5,195876075,7,2.55263436333406e-08,3.57368810866769e-08
2008,"18801",23,420663082,25,5.46755847711875e-08,5.94299834469429e-08
2008,"16901",7,602272141,7,1.1622652823319e-08,1.1622652823319e-08
2008,"16917",1,115168685,1,8.68291584643864e-09,8.68291584643864e-09
2008,"16926",5,62750789,5,7.96802730241368e-08,7.96802730241368e-08
2008,"16929",1,119702567,1,8.35403972581474e-09,8.35403972581474e-09
2008,"16933",2,252428446,2,7.92303732678369e-09,7.92303732678369e-09
2008,"16947",4,298543712,4,1.33983729658992e-08,1.33983729658992e-08
2008,"17724",2,290315038,2,6.88906786840301e-09,6.88906786840301e-09
2008,"17765",1,214207968,1,4.66836042252172e-09,4.66836042252172e-09
2008,"18630",2,170601370,2,1.17232352823427e-08,1.17232352823427e-08
2008,"18810",1,119055618,1,8.39943563184057e-09,8.39943563184057e-09
2008,"18824",5,77363644,5,6.46298408590991e-08,6.46298408590991e-08
2008,"18826",1,118229320,1,8.4581388102376e-09,8.4581388102376e-09
2008,"18832",1,154354180,1,6.47860653984233e-09,6.47860653984233e-09
2008,"18848",3,274467820,3,1.09302431155682e-08,1.09302431155682e-08
2008,"18850",1,155895533,1,6.41455198078062e-09,6.41455198078062e-09
2008,"18853",2,265087158,2,7.54468837754864e-09,7.54468837754864e-09
2008,"16912",0,65449401,0,0,0
2008,"16932",0,55182774,0,0,0
2008,"16936",0,124997105,0,0,0
2008,"16946",0,159436577,0,0,0
2008,"18623",0,146069512,0,0,0
2008,"18822",0,107709685,0,0,0
2008,"18828",0,25967605,0,0,0
2008,"18833",0,275449756,0,0,0
2008,"18847",0,365503815,0,0,0
2008,"18854",0,68704007,0,0,0
2008,"16920",0,24665307,0,0,0
2008,"16928",0,89277055,0,0,0
2008,"16930",0,172730334,0,0,0
2008,"16935",0,129576224,0,0,0
2008,"16942",0,61420174,0,0,0
2008,"18818",0,118489742,0,0,0
2008,"18829",0,66842460,0,0,0
2008,"18831",0,75558368,0,0,0
2008,"18837",0,233446874,0,0,0
2008,"18845",0,25048668,0,0,0
2008,"18817",0,4768296,0,0,0
2008,"18830",0,62514522,0,0,0
2008,"18834",0,171936159,0,0,0
2008,"18846",0,69779395,0,0,0
2008,"18851",0,72576746,0,0,0
2008,"18812",0,81611607,0,0,0
2008,"18842",0,10668083,0,0,0
2008,"18823",0,6905558,0,0,0
2008,"18821",0,8947352,0,0,0
2008,"18825",0,8575609,0,0,0
2009,"16925",0,199819653,1,0,5.00451274429948e-09
2009,"18840",0,116630500,3,0,2.57222596147663e-08
2009,"18844",46,88564327,49,5.19396483417076e-07,5.5327016711819e-07
2009,"16914",20,195876075,27,1.02105374533362e-07,1.37842255620039e-07
2009,"18801",26,420663082,51,6.18071827848207e-08,1.21237166231764e-07
2009,"16901",12,602272141,19,1.99245476971182e-08,3.15472005204372e-08
2009,"16917",25,115168685,26,2.17072896160966e-07,2.25755812007405e-07
2009,"16926",4,62750789,9,6.37442184193094e-08,1.43424491443446e-07
2009,"16929",9,119702567,10,7.51863575323326e-08,8.35403972581473e-08
2009,"16933",19,252428446,21,7.5268854604445e-08,8.31918919312287e-08
2009,"16947",62,298543712,66,2.07674780971438e-07,2.21073153937337e-07
2009,"17724",5,290315038,7,1.72226696710075e-08,2.41117375394105e-08
2009,"17765",1,214207968,2,4.66836042252172e-09,9.33672084504345e-09
2009,"18630",7,170601370,9,4.10313234881994e-08,5.27545587705421e-08
2009,"18810",0,119055618,1,0,8.39943563184057e-09
2009,"18824",0,77363644,5,0,6.46298408590991e-08
2009,"18826",0,118229320,1,0,8.4581388102376e-09
2009,"18832",2,154354180,3,1.29572130796847e-08,1.9435819619527e-08
2009,"18848",25,274467820,28,9.10853592964013e-08,1.02015602411969e-07
2009,"18850",5,155895533,6,3.20727599039031e-08,3.84873118846837e-08
2009,"18853",32,265087158,34,1.20715014040778e-07,1.28259702418327e-07
2009,"16912",6,65449401,6,9.16738718510197e-08,9.16738718510197e-08
2009,"16932",14,55182774,14,2.53702360087951e-07,2.53702360087951e-07
2009,"16936",19,124997105,19,1.52003520401532e-07,1.52003520401532e-07
2009,"16946",1,159436577,1,6.27208648615179e-09,6.27208648615179e-09
2009,"18623",6,146069512,6,4.10763335746614e-08,4.10763335746614e-08
2009,"18822",1,107709685,1,9.28421617796023e-09,9.28421617796023e-09
2009,"18828",3,25967605,3,1.15528559526379e-07,1.15528559526379e-07
2009,"18833",4,275449756,4,1.45217046407549e-08,1.45217046407549e-08
2009,"18847",1,365503815,1,2.73594955499986e-09,2.73594955499986e-09
2009,"18854",2,68704007,2,2.9110383619983e-08,2.9110383619983e-08
2009,"16920",0,24665307,0,0,0
2009,"16928",0,89277055,0,0,0
2009,"16930",0,172730334,0,0,0
2009,"16935",0,129576224,0,0,0
2009,"16942",0,61420174,0,0,0
2009,"18818",0,118489742,0,0,0
2009,"18829",0,66842460,0,0,0
2009,"18831",0,75558368,0,0,0
2009,"18837",0,233446874,0,0,0
2009,"18845",0,25048668,0,0,0
2009,"18817",0,4768296,0,0,0
2009,"18830",0,62514522,0,0,0
2009,"18834",0,171936159,0,0,0
2009,"18846",0,69779395,0,0,0
2009,"18851",0,72576746,0,0,0
2009,"18812",0,81611607,0,0,0
2009,"18842",0,10668083,0,0,0
2009,"18823",0,6905558,0,0,0
2009,"18821",0,8947352,0,0,0
2009,"18825",0,8575609,0,0,0
2010,"16925",31,199819653,32,1.55139895073284e-07,1.60144407817583e-07
2010,"18840",5,116630500,8,4.28704326912772e-08,6.85926923060435e-08
2010,"18844",33,88564327,82,3.7261052071225e-07,9.2588068783044e-07
2010,"16914",63,195876075,90,3.21631929780092e-07,4.59474185400131e-07
2010,"18801",42,420663082,93,9.98423721908641e-08,2.21079538422628e-07
2010,"16901",61,602272141,80,1.01283117460351e-07,1.32830317980788e-07
2010,"16917",50,115168685,76,4.34145792321932e-07,6.59901604329337e-07
2010,"16926",10,62750789,19,1.59360546048274e-07,3.0278503749172e-07
2010,"16929",0,119702567,10,0,8.35403972581473e-08
2010,"16933",33,252428446,54,1.30730115891931e-07,2.1392200782316e-07
2010,"16947",90,298543712,156,3.01463391732732e-07,5.22536545670069e-07
2010,"17724",39,290315038,46,1.34336823433859e-07,1.58448560973269e-07
2010,"17765",23,214207968,25,1.07372289718e-07,1.16709010563043e-07
2010,"18630",40,170601370,49,2.34464705646854e-07,2.87219264417396e-07
2010,"18810",4,119055618,5,3.35977425273623e-08,4.19971781592029e-08
2010,"18824",3,77363644,8,3.87779045154595e-08,1.03407745374559e-07
2010,"18826",4,118229320,5,3.38325552409504e-08,4.2290694051188e-08
2010,"18832",6,154354180,9,3.8871639239054e-08,5.8307458858581e-08
2010,"18848",15,274467820,43,5.46512155778408e-08,1.5666681798981e-07
2010,"18850",5,155895533,11,3.20727599039031e-08,7.05600717885868e-08
2010,"18853",49,265087158,83,1.84844865249942e-07,3.13104567668269e-07
2010,"16912",17,65449401,23,2.59742636911222e-07,3.51416508762242e-07
2010,"16932",5,55182774,19,9.06079857456967e-08,3.44310345833647e-07
2010,"16936",10,124997105,29,8.00018528429118e-08,2.32005373244444e-07
2010,"16946",0,159436577,1,0,6.27208648615179e-09
2010,"18623",20,146069512,26,1.36921111915538e-07,1.77997445490199e-07
2010,"18822",0,107709685,1,0,9.28421617796023e-09
2010,"18828",2,25967605,5,7.70190396842527e-08,1.92547599210632e-07
2010,"18833",18,275449756,22,6.5347670883397e-08,7.98693755241519e-08
2010,"18847",2,365503815,3,5.47189910999971e-09,8.20784866499957e-09
2010,"18854",12,68704007,14,1.74662301719898e-07,2.03772685339881e-07
2010,"16920",2,24665307,2,8.10855506481229e-08,8.10855506481229e-08
2010,"16928",7,89277055,7,7.84076042830938e-08,7.84076042830938e-08
2010,"16930",4,172730334,4,2.31574843130912e-08,2.31574843130912e-08
2010,"16935",20,129576224,20,1.54349304082206e-07,1.54349304082206e-07
2010,"16942",4,61420174,4,6.5125181833578e-08,6.5125181833578e-08
2010,"18818",5,118489742,5,4.21977456917747e-08,4.21977456917747e-08
2010,"18829",1,66842460,1,1.49605505243224e-08,1.49605505243224e-08
2010,"18831",7,75558368,7,9.26436103013765e-08,9.26436103013765e-08
2010,"18837",12,233446874,12,5.14035583102304e-08,5.14035583102304e-08
2010,"18845",10,25048668,10,3.99222824942228e-07,3.99222824942228e-07
2010,"18817",0,4768296,0,0,0
2010,"18830",0,62514522,0,0,0
2010,"18834",0,171936159,0,0,0
2010,"18846",0,69779395,0,0,0
2010,"18851",0,72576746,0,0,0
2010,"18812",0,81611607,0,0,0
2010,"18842",0,10668083,0,0,0
2010,"18823",0,6905558,0,0,0
2010,"18821",0,8947352,0,0,0
2010,"18825",0,8575609,0,0,0
2011,"16925",27,199819653,59,1.35121844096086e-07,2.95266251913669e-07
2011,"18840",9,116630500,17,7.71667788442989e-08,1.45759471150342e-07
2011,"18844",19,88564327,101,2.14533330107053e-07,1.14041401793749e-06
2011,"16914",43,195876075,133,2.19526555246729e-07,6.79000740646861e-07
2011,"18801",98,420663082,191,2.32965535112016e-07,4.54045073534644e-07
2011,"16901",103,602272141,183,1.71019034400265e-07,3.03849352381053e-07
2011,"16917",22,115168685,98,1.9102414862165e-07,8.50925752950987e-07
2011,"16926",2,62750789,21,3.18721092096547e-08,3.34657146701375e-07
2011,"16929",11,119702567,21,9.18944369839621e-08,1.75434834242109e-07
2011,"16933",39,252428446,93,1.54499227872282e-07,3.68421235695441e-07
2011,"16947",50,298543712,206,1.6747966207374e-07,6.90016207743809e-07
2011,"17724",28,290315038,74,9.64469501576422e-08,2.54895511130911e-07
2011,"17765",13,214207968,38,6.06886854927824e-08,1.77397696055826e-07
2011,"18630",34,170601370,83,1.99294999799826e-07,4.86514264217222e-07
2011,"18810",2,119055618,7,1.67988712636811e-08,5.8796049422884e-08
2011,"18824",7,77363644,15,9.04817772027388e-08,1.93889522577297e-07
2011,"18826",13,118229320,18,1.09955804533089e-07,1.52246498584277e-07
2011,"18832",9,154354180,18,5.8307458858581e-08,1.16614917717162e-07
2011,"18848",47,274467820,90,1.71240475477234e-07,3.27907293467045e-07
2011,"18850",19,155895533,30,1.21876487634832e-07,1.92436559423418e-07
2011,"18853",40,265087158,123,1.50893767550973e-07,4.63998335219241e-07
2011,"16912",20,65449401,43,3.05579572836732e-07,6.56996081598974e-07
2011,"16932",5,55182774,24,9.06079857456967e-08,4.34918331579344e-07
2011,"16936",0,124997105,29,0,2.32005373244444e-07
2011,"16946",2,159436577,3,1.25441729723036e-08,1.88162594584554e-08
2011,"18623",20,146069512,46,1.36921111915538e-07,3.14918557405737e-07
2011,"18822",11,107709685,12,1.02126377957563e-07,1.11410594135523e-07
2011,"18828",8,25967605,13,3.08076158737011e-07,5.00623757947643e-07
2011,"18833",29,275449756,51,1.05282358645473e-07,1.85151734169625e-07
2011,"18847",1,365503815,4,2.73594955499986e-09,1.09437982199994e-08
2011,"18854",8,68704007,22,1.16441534479932e-07,3.20214219819813e-07
2011,"16920",0,24665307,2,0,8.10855506481229e-08
2011,"16928",2,89277055,9,2.24021726523125e-08,1.00809776935406e-07
2011,"16930",1,172730334,5,5.78937107827279e-09,2.8946855391364e-08
2011,"16935",8,129576224,28,6.17397216328823e-08,2.16089025715088e-07
2011,"16942",9,61420174,13,1.46531659125551e-07,2.11656840959129e-07
2011,"18818",10,118489742,15,8.43954913835495e-08,1.26593237075324e-07
2011,"18829",8,66842460,9,1.19684404194579e-07,1.34644954718902e-07
2011,"18831",12,75558368,19,1.58817617659503e-07,2.51461227960879e-07
2011,"18837",29,233446874,41,1.2422526591639e-07,1.7562882422662e-07
2011,"18845",10,25048668,20,3.99222824942228e-07,7.98445649884457e-07
2011,"18817",3,4768296,3,6.29155572556737e-07,6.29155572556737e-07
2011,"18830",4,62514522,4,6.39851329263943e-08,6.39851329263943e-08
2011,"18834",10,171936159,10,5.81611224663917e-08,5.81611224663917e-08
2011,"18846",7,69779395,7,1.00316146335175e-07,1.00316146335175e-07
2011,"18851",9,72576746,9,1.24006661858331e-07,1.24006661858331e-07
2011,"18812",0,81611607,0,0,0
2011,"18842",0,10668083,0,0,0
2011,"18823",0,6905558,0,0,0
2011,"18821",0,8947352,0,0,0
2011,"18825",0,8575609,0,0,0
2012,"16925",1,199819653,60,5.00451274429948e-09,3.00270764657969e-07
2012,"18840",1,116630500,18,8.57408653825543e-09,1.54333557688598e-07
2012,"18844",4,88564327,105,4.51649116014849e-08,1.18557892953898e-06
2012,"16914",3,195876075,136,1.53158061800044e-08,6.94316546826865e-07
2012,"18801",64,420663082,255,1.52140757624174e-07,6.06185831158818e-07
2012,"16901",31,602272141,214,5.14717482175554e-08,3.55321100598608e-07
2012,"16917",0,115168685,98,0,8.50925752950987e-07
2012,"16926",0,62750789,21,0,3.34657146701375e-07
2012,"16929",0,119702567,21,0,1.75434834242109e-07
2012,"16933",18,252428446,111,7.13073359410532e-08,4.39728571636495e-07
2012,"16947",14,298543712,220,4.68943053806472e-08,7.36910513124457e-07
2012,"17724",6,290315038,80,2.0667203605209e-08,2.75562714736121e-07
2012,"17765",43,214207968,81,2.00739498168434e-07,3.7813719422426e-07
2012,"18630",18,170601370,101,1.05509117541084e-07,5.92023381758306e-07
2012,"18810",4,119055618,11,3.35977425273623e-08,9.23937919502463e-08
2012,"18824",5,77363644,20,6.46298408590991e-08,2.58519363436397e-07
2012,"18826",19,118229320,37,1.60704637394514e-07,3.12951135978791e-07
2012,"18832",6,154354180,24,3.8871639239054e-08,1.55486556956216e-07
2012,"18848",8,274467820,98,2.91473149748484e-08,3.57054608441893e-07
2012,"18850",6,155895533,36,3.84873118846837e-08,2.30923871308102e-07
2012,"18853",31,265087158,154,1.16942669852004e-07,5.80941005071245e-07
2012,"16912",12,65449401,55,1.83347743702039e-07,8.40343825301014e-07
2012,"16932",7,55182774,31,1.26851180043975e-07,5.61769511623319e-07
2012,"16936",7,124997105,36,5.60012969900383e-08,2.88006670234483e-07
2012,"16946",0,159436577,3,0,1.88162594584554e-08
2012,"18623",16,146069512,62,1.0953688953243e-07,4.24455446938167e-07
2012,"18822",15,107709685,27,1.39263242669403e-07,2.50673836804926e-07
2012,"18828",0,25967605,13,0,5.00623757947643e-07
2012,"18833",22,275449756,73,7.98693755241519e-08,2.65021109693777e-07
2012,"18847",10,365503815,14,2.73594955499986e-08,3.8303293769998e-08
2012,"18854",0,68704007,22,0,3.20214219819813e-07
2012,"16920",0,24665307,2,0,8.10855506481229e-08
2012,"16928",1,89277055,10,1.12010863261563e-08,1.12010863261563e-07
2012,"16930",0,172730334,5,0,2.8946855391364e-08
2012,"16935",1,129576224,29,7.71746520411029e-09,2.23806490919198e-07
2012,"16942",0,61420174,13,0,2.11656840959129e-07
2012,"18818",4,118489742,19,3.37581965534198e-08,1.60351433628744e-07
2012,"18829",8,66842460,17,1.19684404194579e-07,2.54329358913481e-07
2012,"18831",3,75558368,22,3.97044044148757e-08,2.91165632375755e-07
2012,"18837",7,233446874,48,2.9985409014301e-08,2.05614233240921e-07
2012,"18845",14,25048668,34,5.5891195491912e-07,1.35735760480358e-06
2012,"18817",0,4768296,3,0,6.29155572556737e-07
2012,"18830",0,62514522,4,0,6.39851329263943e-08
2012,"18834",33,171936159,43,1.91931704139093e-07,2.50092826605484e-07
2012,"18846",15,69779395,22,2.14963170718233e-07,3.15279317053408e-07
2012,"18851",4,72576746,13,5.51140719370361e-08,1.79120733795367e-07
2012,"18812",10,81611607,10,1.22531590390078e-07,1.22531590390078e-07
2012,"18842",4,10668083,4,3.74950213641945e-07,3.74950213641945e-07
2012,"18823",0,6905558,0,0,0
2012,"18821",0,8947352,0,0,0
2012,"18825",0,8575609,0,0,0
2013,"16925",0,199819653,60,0,3.00270764657969e-07
2013,"18840",0,116630500,18,0,1.54333557688598e-07
2013,"18844",28,88564327,133,3.16154381210394e-07,1.50173331074937e-06
2013,"16914",2,195876075,138,1.02105374533362e-08,7.04527084280201e-07
2013,"18801",31,420663082,286,7.36931794742092e-08,6.79879010633027e-07
2013,"16901",0,602272141,214,0,3.55321100598608e-07
2013,"16917",0,115168685,98,0,8.50925752950987e-07
2013,"16926",0,62750789,21,0,3.34657146701375e-07
2013,"16929",0,119702567,21,0,1.75434834242109e-07
2013,"16933",20,252428446,131,7.92303732678369e-08,5.18958944904331e-07
2013,"16947",3,298543712,223,1.00487797244244e-08,7.46959292848881e-07
2013,"17724",0,290315038,80,0,2.75562714736121e-07
